作者,作品,型別,進度,字數,作品積分,發表時間
江蘿蘿,敗給溫柔,原創-言情-近代現代-愛情,完結,480027,2489494528,2021-02-01 06:00:00,"簡介：替身跑路，溫柔男二上位
標籤：天之驕子 甜文 輕鬆 暖男 追愛火葬場",oneauthor.php?authorid=2727906,onebook.php?novelid=5116483
希昀,閨中繡,原創-言情-架空歷史-愛情,完結,723864,2101556352,2023-07-06 21:18:00,"簡介：將高嶺之花逼瘋
標籤：甜文 爽文 先婚後愛 追愛火葬場",oneauthor.php?authorid=2171848,onebook.php?novelid=5958174
起躍,太子打臉日常,原創-言情-架空歷史-傳奇,完結,506989,2299398656,2020-05-10 09:00:00,"簡介：她越來越好看孤該怎麼辦
標籤：破鏡重圓 天作之合 甜文 爽文 正劇 追愛火葬場",oneauthor.php?authorid=2346445,onebook.php?novelid=4495184
爆炒小黃瓜,怪物的新娘,原創-言情-幻想未來-輕小說,完結,878717,3612332800,2022-12-01 09:00:00,"簡介：他陰暗又偏執，但他愛你
標籤：情有獨鍾 天作之合 西方羅曼 賽博朋克 追愛火葬場 單元文",oneauthor.php?authorid=1020342,onebook.php?novelid=6200398
葉猗,星際第一火葬場,原創-言情-幻想未來-劇情,完結,1079487,3752807680,2022-02-25 08:38:00,"簡介：我走後陛下追悔莫及
標籤：穿越時空 星際 穿書 爽文 正劇 追愛火葬場",oneauthor.php?authorid=1862354,onebook.php?novelid=2964095
禮也,於春日熱吻,原創-言情-近代現代-愛情,完結,359886,1655460096,2021-02-18 22:41:55,"簡介：住進那雙玩世不恭的眼裡
標籤：破鏡重圓 天之驕子 業界精英 校園 正劇 追愛火葬場",oneauthor.php?authorid=2735682,onebook.php?novelid=5531686
黃銅左輪,當總裁助理面對古早狗血火葬場,原創-純愛-近代現代-愛情,完結,340765,1587189888,2022-02-03 18:00:00,"簡介：他不肯做先動心的輸家
標籤：都市 豪門世家 相愛相殺 穿書 正劇 追愛火葬場",oneauthor.php?authorid=4439947,onebook.php?novelid=6513764
晏閒,太子妃退婚後全皇宮追悔莫及,原創-言情-架空歷史-愛情,完結,819363,1102530944,2022-10-16 12:00:22,"簡介：全員火葬場，打臉啪啪啪！
標籤：重生 爽文 復仇虐渣 追愛火葬場",oneauthor.php?authorid=2400201,onebook.php?novelid=5724926
晏閒,長公主病入膏肓後,原創-言情-架空歷史-愛情,完結,653721,1039085376,2021-11-19 00:00:00,"簡介：禁慾駙馬追妻火葬場
標籤：宮廷侯爵 打臉 高嶺之花 追愛火葬場",oneauthor.php?authorid=2400201,onebook.php?novelid=5779596
甜鳶,丞相今天火葬場了嗎,原創-言情-架空歷史-愛情,完結,696779,1530990592,2023-03-16 12:00:00,"簡介：高嶺之花的真香火葬場~
標籤：情有獨鍾 天作之合 重生 復仇虐渣 高嶺之花 追愛火葬場",oneauthor.php?authorid=4083810,onebook.php?novelid=7094588
梟藥,當朕有了讀心術發現所有人都在騙朕！,原創-言情-架空歷史-愛情,完結,468952,1074793472,2019-04-15 18:00:01,"簡介：美貌傲嬌貴妃*忠犬真香皇帝
標籤：情有獨鍾 破鏡重圓 穿越時空 腦洞 追愛火葬場 讀心術",oneauthor.php?authorid=927131,onebook.php?novelid=3945362
檸芝,春光咬月亮,原創-言情-近代現代-愛情,完結,444852,1022182784,2021-05-12 18:00:00,"簡介：男二上位，前任火葬場，是甜文
標籤：娛樂圈 甜文 成長 高嶺之花 暗戀 追愛火葬場",oneauthor.php?authorid=800497,onebook.php?novelid=4484601
喬柚,養了八年的金絲雀飛走啦,原創-純愛-近代現代-愛情,完結,308102,1534391552,2020-12-09 20:20:20,"簡介：追妻火葬攻&人間清醒受
標籤：豪門世家 情有獨鍾 破鏡重圓 輕鬆 追愛火葬場",oneauthor.php?authorid=997489,onebook.php?novelid=5193383
西瓜炒肉,敗絮,原創-純愛-近代現代-愛情,完結,418246,1084117248,2021-08-26 18:00:00,"簡介：追妻火葬場，不換攻1v1HE
標籤：都市 豪門世家 破鏡重圓 穿書 輕鬆 追愛火葬場",oneauthor.php?authorid=2274728,onebook.php?novelid=4292688
君幸食,網戀選我我超A[電競],原創-言情-近代現代-愛情,完結,795132,1700529408,2020-03-01 09:00:01,"簡介：從青銅到王者，肥宅如何逆襲？
標籤：重生 打臉 系統 甜文 輕鬆 追愛火葬場",oneauthor.php?authorid=2327040,onebook.php?novelid=4306482
韞枝,雲嬌雨怯,原創-言情-架空歷史-愛情,連載,451600,1095133056,2023-06-20 02:15:00,"簡介：【正文完】事業批男主為愛發瘋
標籤：豪門世家 情有獨鍾 天作之合 天之驕子 追愛火葬場",oneauthor.php?authorid=2443110,onebook.php?novelid=7327546
巖城太瘦生,陰鬱受重生後,原創-純愛-架空歷史-愛情,完結,561396,1370508416,2022-08-11 14:49:05,"簡介：渣攻也重生了
標籤：宮廷侯爵 破鏡重圓 重生 追愛火葬場",oneauthor.php?authorid=2385520,onebook.php?novelid=6596814
脆桃卡里,be後成了所有人的白月光,原創-言情-架空歷史-愛情,完結,728954,1265559552,2021-06-19 00:33:33,"簡介：七個男人爭搶火葬場
標籤：宮廷侯爵 情有獨鍾 穿書 復仇虐渣 白月光 追愛火葬場",oneauthor.php?authorid=2636874,onebook.php?novelid=4424379
子瓊,重生後她以殺證道,原創-言情-架空歷史-仙俠,連載,1031677,772381376,2023-06-30 13:48:38,"簡介：瘋批女主重生了
標籤：重生 女強 爽文 逆襲 萬人迷 追愛火葬場",oneauthor.php?authorid=2639816,onebook.php?novelid=4420283
喬柚,偏執受想開了[重生],原創-純愛-架空歷史-愛情,完結,280495,1295820800,2021-07-01 07:45:01,"簡介：天子追妻火葬場
標籤：宮廷侯爵 破鏡重圓 天之驕子 重生 輕鬆 追愛火葬場",oneauthor.php?authorid=997489,onebook.php?novelid=5737546
戲問,當沙雕攻穿進火葬場文學[快穿],原創-純愛-幻想未來-愛情,完結,390102,1142459392,2021-07-29 21:00:00,"簡介：火葬場終結者
標籤：情有獨鍾 穿越時空 系統 快穿 輕鬆 追愛火葬場",oneauthor.php?authorid=3743609,onebook.php?novelid=5731367
枕岸,任務失敗後我死遁了,原創-純愛-近代現代-愛情,完結,371334,724795264,2021-10-31 21:00:00,"簡介：給火葬場添把柴
標籤：破鏡重圓 重生 系統 穿書 輕鬆 追愛火葬場",oneauthor.php?authorid=3545917,onebook.php?novelid=5625018
蘇幕幕,嫁高門,原創-言情-架空歷史-愛情,完結,533276,748769152,2023-04-27 19:40:50,"簡介：我不再愛你了
標籤：破鏡重圓 高嶺之花 追愛火葬場",oneauthor.php?authorid=3185488,onebook.php?novelid=7866770
綠藥,一枕香,原創-言情-架空歷史-愛情,完結,585858,853793280,2019-05-11 07:07:07,"簡介：【暴躁老哥×心機美人】
標籤：宮廷侯爵 天作之合 甜文 爽文 追愛火葬場 真假千金",oneauthor.php?authorid=972917,onebook.php?novelid=3252850
遊湖喝著茶,他說我不配,原創-純愛-近代現代-愛情,完結,664060,946527680,2023-02-08 14:55:35,"簡介：市儈虛榮頑強受x惡劣紈絝浪子攻
標籤：都市 破鏡重圓 追愛火葬場",oneauthor.php?authorid=2379551,onebook.php?novelid=5826011
比卡比,全天下為我火葬場,原創-純愛-架空歷史-愛情,完結,402758,1660325888,2020-07-22 21:00:00,"簡介：他要活著，他要自由
標籤：仙俠修真 正劇 高嶺之花 HE 追愛火葬場",oneauthor.php?authorid=2186814,onebook.php?novelid=4290600
張源起,被首座拋棄之後,原創-純愛-架空歷史-仙俠,連載,368800,844887808,2023-07-06 09:00:00,"簡介：老公不要我了
標籤：情有獨鍾 破鏡重圓 穿越時空 仙俠修真 正劇 追愛火葬場",oneauthor.php?authorid=2231180,onebook.php?novelid=3620570
