作者,作品,型別,進度,字數,作品積分,發表時間
青梅醬,電競魔王集結營,原創-純愛-近代現代-遊戲,完結,781162,5585315328,2020-06-23 12:00:00,"簡介：你好毒毒毒毒毒。
標籤：強強 爽文 輕鬆 電競 群像",oneauthor.php?authorid=423251,onebook.php?novelid=4079467
AyeAyeCaptain,紅白囍,原創-純愛-近代現代-劇情,完結,404441,609666048,2022-01-16 17:30:00,"簡介：老年愛情
標籤：強強 靈異神怪 民國 現代架空 正劇 群像",oneauthor.php?authorid=4451275,onebook.php?novelid=6469645
木蘭竹,李世民為弟弟心聲頭疼中,原創-言情-古色古香-劇情,連載,1053435,4385436672,2023-08-01 12:00:00,"簡介：李世民：哥求你閉嘴！
標籤：宮廷侯爵 穿越時空 日常 劇透 群像",oneauthor.php?authorid=955319,onebook.php?novelid=7572037
紅刺北,長央,原創-言情-架空歷史-仙俠,連載,396413,3250534912,2023-08-08 08:00:00,"簡介：死敵變情人
標籤：陰差陽錯 爽文 成長 群像",oneauthor.php?authorid=2069713,onebook.php?novelid=6562529
最愛梅子酒,崽崽們不可能這麼乖！,原創-純愛-幻想未來-劇情,完結,1330411,2152245504,2022-12-04 00:00:01,"簡介：蘇飼養員教兇獸幼崽們做人
標籤：種田文 星際 爽文 治癒 萌娃 群像",oneauthor.php?authorid=1801839,onebook.php?novelid=5324134
一江聽月,他來渡我,原創-言情-架空歷史-仙俠,完結,823021,1735186944,2021-06-02 18:00:00,"簡介：反火葬場，佛子今天渡我了嗎
標籤：仙俠修真 甜文 爆笑 沙雕 群像",oneauthor.php?authorid=2147997,onebook.php?novelid=5362001
矜以,廢物機甲師是星際最強,原創-言情-幻想未來-愛情,完結,1207914,1324788480,2022-05-16 21:00:00,"簡介：把她給我叉進研究室
標籤：機甲 星際 打臉 爽文 群像",oneauthor.php?authorid=3423158,onebook.php?novelid=5627413
別寒,金手指是中二詞！,原創-言情-架空歷史-仙俠,完結,839893,931585920,2022-03-24 19:00:00,"簡介：【正文完】我中二，我熱血！
標籤：穿越時空 仙俠修真 升級流 輕鬆 群像",oneauthor.php?authorid=947395,onebook.php?novelid=6235794
一呱,我佛不渡窮比[修仙],原創-言情-架空歷史-仙俠,完結,2587982,727299456,2020-04-09 14:24:00,"簡介：社會我光姐，殺生又唸佛
標籤：仙俠修真 正劇 沙雕 熱血 權謀 群像",oneauthor.php?authorid=2553037,onebook.php?novelid=4732861
一枕,我是個興趣使然的機甲師,原創-言情-幻想未來-愛情,完結,569017,1231138048,2021-08-17 06:00:00,"簡介：能打又能奶，但只想當後勤。
標籤：機甲 星際 ABO 正劇 群像",oneauthor.php?authorid=1208462,onebook.php?novelid=2136331
睡覺能人,上交預言天災手機後,原創-言情-幻想未來-劇情,完結,1000171,589115072,2023-06-20 21:00:00,"簡介：刷未來的短影片，救現在的世界。
標籤：科幻 末世 升級流 app 預知 群像",oneauthor.php?authorid=3706485,onebook.php?novelid=7442332
卷卷貓,當我坑男配時我在想什麼[穿書],原創-純愛-架空歷史-愛情,完結,498797,1146776448,2019-12-24 10:00:01,"簡介：翻車的炮灰不要急著扔
標籤：年下 朝堂 正劇 治癒 群像",oneauthor.php?authorid=2013688,onebook.php?novelid=4009124
溫三白,成為星際首富從召喚玩家開始,原創-言情-幻想未來-愛情,完結,626319,1189451008,2020-03-08 00:00:01,"簡介：召喚玩家來星球：建設×，搞事√
標籤：星際 爽文 輕鬆 第四天災 群像",oneauthor.php?authorid=2805854,onebook.php?novelid=4567857
木南斐,開局給秦始皇盤點四大發明,衍生-言情-古色古香-東方衍生,完結,677058,896116928,2023-03-05 15:25:12,"簡介：願華夏海晏河清，永珍昇平
標籤：歷史衍生 爽文 直播 基建 輕鬆 群像",oneauthor.php?authorid=1047871,onebook.php?novelid=7858978
鹿以,劍中有明月,原創-言情-架空歷史-仙俠,完結,747451,510010592,2022-07-28 15:00:00,"簡介：你的天天練週週測月月考做完了嗎
標籤：仙俠修真 東方玄幻 成長 治癒 師徒 群像",oneauthor.php?authorid=2189869,onebook.php?novelid=5344273
睡芒,金陵,原創-純愛-架空歷史-愛情,連載,223324,1151448960,2023-09-10 16:00:00,"簡介：女裝後我撩了王爺就跑
標籤：宮廷侯爵 情有獨鍾 甜文 正劇 萬人迷 群像",oneauthor.php?authorid=1761357,onebook.php?novelid=5806140
酒焗蟹蟹,酒廠BOSS賬號線上經營,衍生-無CP-近代現代-輕小說,完結,1294540,866765312,2022-12-11 21:00:00,"簡介：我和我基友一起洗白酒廠的那些年
標籤：柯南 團寵 論壇體 群像",oneauthor.php?authorid=4174046,onebook.php?novelid=6802794
魏朝瑾,玩家靠開馬甲一統天下,原創-無CP-架空歷史-劇情,完結,1324060,519924128,2019-09-09 23:07:17,"簡介：達成成就：【萬國衣冠拜冕旒】。
標籤：系統 馬甲文 第四天災 群像",oneauthor.php?authorid=2637840,onebook.php?novelid=4347334
雲吉錦繡,大喬的七十年代,原創-言情-近代現代-愛情,完結,943078,686498176,2019-12-09 15:00:01,"簡介：當團寵的日子不要太爽！！
標籤：甜文 穿書 爽文 年代文 輕鬆 群像",oneauthor.php?authorid=224472,onebook.php?novelid=2631690
金筠,異界修仙,原創-純愛-架空歷史-仙俠,完結,1336340,888090112,2022-06-18 09:30:30,"簡介：修仙區百大up主
標籤：穿越時空 仙俠修真 直播 輕鬆 群像",oneauthor.php?authorid=1895024,onebook.php?novelid=3992383
酒焗蟹蟹,繫結彈幕後我和基友穿成了紅黑雙方,衍生-無CP-近代現代-輕小說,完結,397804,482630240,2022-04-11 18:00:00,"簡介：我和基友穿成了紅黑雙方
標籤：柯南 美強慘 論壇體 群像",oneauthor.php?authorid=4174046,onebook.php?novelid=6698883
一木孑影,執手,原創-純愛-近代現代-愛情,完結,629783,366702944,2022-08-13 17:37:24,"簡介：醫生文，你是我此生唯一的執念
標籤：強強 破鏡重圓 天之驕子 業界精英 正劇 群像",oneauthor.php?authorid=5047858,onebook.php?novelid=7234377
金筠,法外狂徒重啟人生,衍生-無CP-近代現代-輕小說,完結,920301,469869056,2021-09-17 09:00:01,"簡介：法外狂徒只想當工具人
標籤：現代架空 懸疑推理 正劇 腦洞 群像",oneauthor.php?authorid=1895024,onebook.php?novelid=5719115
明夜泊霜,盤點歷史，昏君社死,衍生-無CP-古色古香-東方衍生,完結,675764,325300032,2023-02-14 15:00:00,"簡介：假如歷史遺憾都有機會挽回……
標籤：歷史衍生 系統 直播 輕鬆 劇透 群像",oneauthor.php?authorid=3118137,onebook.php?novelid=7775738
明月傾,小樓一夜聽春雨,原創-言情-古色古香-愛情,連載,874112,279108864,2023-11-10 20:39:45,"簡介：婁家三姐妹的故事
標籤：因緣邂逅 宅鬥 婚戀 相愛相殺 美強慘 群像",oneauthor.php?authorid=585289,onebook.php?novelid=8493117
鶴梓,[綜武俠]你還想看我開花？！,衍生-純愛-架空歷史-東方衍生,完結,607685,619889536,2022-12-18 14:14:14,"簡介：種花需要愛意澆灌
標籤：武俠 情有獨鍾 天之驕子 穿越時空 甜文 群像",oneauthor.php?authorid=422610,onebook.php?novelid=6070975
